x,y,Class
6.874.490.226.630.250,8.432.458.059.244.880,C2
6.969.778.069.395.040,7.313.768.359.586.400,C2
7.601.508.524.600.080,7.772.763.343.983.660,C2
7.688.719.746.352.630,8.886.511.643.975.660,C2
7.060.181.979.344.440,8.493.432.115.752.990,C2
7.494.416.721.215.130,897.761.719.109.214,C2
7.001.109.287.610.160,9.033.450.765.564.750,C2
7.256.401.126.174.190,9.546.408.504.378.240,C2
7.489.534.396.860.430,9.241.539.489.232.030,C2
7.145.331.920.798.050,8.679.955.075.273.400,C2
6.745.833.296.909.060,7.322.388.702.620.340,C2
7.126.192.915.537.240,7.422.190.064.810.960,C2
7.015.289.029.063.160,7.296.066.901.259.180,C2
8.094.764.528.042.740,880.724.658.351.777,C2
7.805.370.297.799.990,9.667.128.863.301.810,C2
6.548.896.313.363.240,9.659.794.098.443.610,C2
7.297.948.067.206.880,9.934.106.669.697.090,C2
6.569.883.587.402.460,9.677.765.580.136.800,C2
5.324.127.622.491.360,8.379.876.539.821.690,C2
5.834.220.621.915.010,7.454.662.726.757.780,C2
6.692.827.777.584.330,6.742.082.136.744.980,C2
8.262.045.154.069.940,6.450.053.641.946.870,C2
8.079.021.296.081.910,6.961.022.684.046.080,C2
7.648.762.948.153.160,8.058.852.984.700.200,C2
769.496.904.783.551,9.810.909.500.838.030,C2
7.433.340.644.551.020,8.781.091.008.363.140,C2
6.207.884.554.595.200,898.961.002.222.149,C2
6.953.759.948.723.400,7.749.849.600.790.970,C2
6.343.364.723.109.150,8.409.112.705.298.020,C2
6.648.259.463.886.800,817.529.238.049.965,C2
7.333.169.950.149.600,7.392.058.856.971.510,C2
6.692.138.726.129.010,756.414.183.155.221,C2
6.589.559.162.973.760,8.294.779.899.368.560,C2
7.189.685.513.808.760,8.868.519.418.595.090,C2
6.700.296.138.441.770,909.652.856.373.802,C2
6.384.865.648.658.830,8.751.738.852.873.020,C2
618.002.063.687.456,7.015.781.931.940.640,C2
6.686.424.313.475.410,6.228.882.084.942.420,C2
7.474.989.691.077.460,6.543.207.559.851.590,C2
8.550.592.099.211.060,6.581.033.085.022.680,C2
8.192.021.749.219.090,6.875.712.089.278.810,C2
7.762.141.309.163.180,8.200.689.887.754.060,C2
7.212.419.693.029.960,7.936.625.547.726.800,C2
7.020.039.285.807.480,8.174.433.449.065.600,C2
6.360.791.064.012.660,7.626.341.688.673.090,C2
6.799.586.865.098.350,6.901.368.599.282.520,C2
7.152.102.186.644.810,7.262.837.593.471.740,C2
7.291.424.091.801.690,8.210.388.000.281.540,C2
7.146.104.336.841.360,8.075.839.482.019.980,C2
7.109.266.918.158.770,906.260.629.592.342,C2
6.555.640.095.467.070,9.088.874.120.370.700,C2
6.866.258.180.723.390,8.453.151.303.580.250,C2
1.614.099.173.486.180,4.126.683.616.347.180,C3
13.917.826.748.539.000,35.579.693.773.751.300,C3
16.712.047.598.994.400,2.617.798.071.759.080,C3
9.481.583.705.276.650,2.349.404.354.373.480,C3
132.712.538.395.187,23.714.104.820.799.000,C3
15.338.663.710.141.600,2.292.436.206.366.440,C3
13.712.247.094.912.100,23.680.042.497.431.900,C3
15.935.806.039.562.500,1.835.714.459.341.420,C3
2.143.352.061.658.330,18.930.595.876.759.700,C3
35.512.086.443.962.800,2.056.849.497.804.380,C3
33.277.353.221.343.000,18.809.471.480.365.600,C3
24.553.638.698.873.800,29.259.534.075.707.900,C3
2.912.497.609.036.760,331.663.972.101.554,C3
2.775.877.196.628.480,4.074.292.358.108.100,C3
24.721.183.453.026.300,4.428.229.169.937.860,C3
2.283.875.843.533.660,4.533.949.431.192,C3
18.718.666.832.583.200,4.424.407.930.263.690,C3
24.106.077.437.806.000,49.158.089.497.804.300,C3
14.158.435.590.787.300,4.614.665.822.935.170,C3
11.792.663.955.548.000,34.021.780.183.111.900,C3
10.447.015.047.656.000,4.042.642.656.519.150,C3
14.480.326.298.062.700,4.039.043.326.788.340,C3
8.833.277.594.322.560,32.083.550.070.626.800,C3
13.806.337.935.087.300,29.247.011.234.372.700,C3
203.936.764.726.204,2.529.864.464.312.440,C3
3.004.211.545.134.080,20.436.092.571.882.700,C3
2.704.259.298.436.180,32.020.323.322.547.100,C3
24.635.122.818.000.700,2.642.886.619.160.900,C3
3.178.300.653.122.810,4.021.758.135.273.790,C3
3.235.937.817.378.100,3.692.516.715.656.490,C3
21.446.309.547.519.200,3.535.399.944.647.930,C3
25.590.581.137.396.800,44.402.265.584.694.600,C3
25.350.309.813.121.200,3.042.612.983.619.500,C3
23.618.246.606.781.700,19.112.566.636.328.100,C3
2.764.150.655.434.510,26.451.882.658.831.000,C3
3.354.548.395.523.680,2.077.417.165.009.510,C3
319.848.641.724.292,30.262.512.377.820.800,C3
341.688.648.521.191,39.253.902.808.959.000,C3
23.209.863.815.080.900,451.964.245.151.357,C3
1.446.202.744.761.310,38.396.090.887.662.200,C3
21.744.646.426.623.000,3.498.471.326.893.290,C3
14.039.089.495.003.200,31.026.459.816.612.600,C3
1.880.020.507.143.660,2.727.981.478.197.020,C3
23.681.796.089.031.300,2.523.883.574.952.820,C3
25.531.547.082.092.200,2.964.557.384.305.930,C3
30.317.458.768.815.200,33.285.414.256.667.100,C3
24.143.704.490.198.600,4.281.475.091.626.840,C3
18.155.834.648.702.900,37.404.802.088.224.500,C3
14.202.688.685.513.700,30.477.990.553.690.700,C3
1.882.071.743.152.440,24.340.666.286.740.800,C3
17.063.320.046.033.900,7.474.576.240.052.170,C3
2.096.758.926.397.000,11.740.362.445.970.100,C3
18.414.411.488.029.200,3.195.282.713.041.250,C3
32.221.654.240.087.600,18.146.273.673.476.900,C3
2.628.750.440.325.010,24.943.129.633.738.100,C3
29.688.456.390.341.100,3.164.009.414.102.220,C3
3.739.629.272.745.410,24.275.088.587.366.700,C3
3.132.479.119.212.760,3.865.182.464.291.840,C3
2.712.659.051.320.030,22.936.246.225.322.400,C3
23.033.778.532.770.200,29.770.879.982.421.300,C3
2.145.461.919.075.180,20.297.286.581.562.900,C3
2.256.087.950.421.300,1.828.784.081.254.400,C3
29.513.244.713.870.400,16.659.283.699.032.700,C3
22.601.745.621.296.700,28.713.794.816.360.000,C3
30.864.980.766.780.200,3.056.982.363.689.560,C3
25.283.275.024.086.700,3.605.254.961.945.440,C3
25.446.036.497.328.400,4.141.537.715.870.680,C3
23.637.285.413.888.500,40.034.113.647.564.200,C3
24.575.422.972.903.400,39.629.720.719.588.600,C3
22.199.053.225.101.300,2.746.401.231.227.060,C3
6.309.645.572.162.120,4.097.393.678.115.510,C4
7.152.187.946.435.130,40.271.669.408.006.000,C4
6.488.467.978.819.070,4.150.151.591.572.510,C4
6.205.838.838.965.900,29.644.326.352.350.300,C4
6.486.706.784.409.830,28.217.092.504.090.500,C4
6.415.577.077.063.620,19.651.588.048.138.800,C4
6.555.236.311.001.320,19.759.956.629.274.400,C4
6.533.899.532.425.920,15.555.439.434.397.300,C4
6.794.468.745.997.420,11.817.917.766.429.000,C4
6.969.991.357.761.120,17.176.051.762.533.800,C4
7.701.123.559.642.370,13.144.441.785.030.200,C4
7.506.003.332.085.140,12.410.586.252.470.900,C4
7.936.320.052.497.950,1.436.760.625.643.820,C4
7.805.702.788.490.550,15.047.101.032.158.600,C4
8.521.786.213.068.270,23.417.096.712.884.300,C4
9.073.638.466.964.840,2.810.169.947.788.420,C4
8.549.567.704.734.070,3.277.349.096.795.400,C4
7.137.175.242.589.160,3.391.332.385.744.480,C4
8.091.740.216.498.190,3.240.534.448.213.620,C4
7.607.591.970.989.270,44.614.555.313.203.400,C4
7.661.197.912.400.150,3.897.157.286.023.260,C4
7.670.128.230.331.670,35.929.151.891.461.300,C4
7.162.772.350.966.070,4.348.058.618.990.740,C4
7.275.607.489.121.310,46.421.493.363.229.800,C4
6.964.899.985.296.380,49.535.288.721.733.900,C4
6.288.888.169.081.200,3.854.256.045.975.080,C4
7.045.297.389.604.990,43.645.645.494.791.100,C4
6.998.486.545.933.480,3.670.295.273.666.950,C4
6.706.637.702.700.000,40.821.942.092.441.200,C4
7.047.900.370.004.790,3.376.080.900.915.280,C4
700.259.342.506.074,4.185.169.423.936.380,C4
6.663.933.367.972.270,3.018.922.308.581.550,C4
6.487.391.278.308.760,2.710.503.042.295.460,C4
6.648.164.214.708.830,20.256.366.092.747.700,C4
754.262.000.721.696,31.904.423.026.591.000,C4
6.954.257.071.823.100,2.528.249.115.787.570,C4
7.360.674.903.191.910,2.209.796.009.939.240,C4
725.091.073.795.488,22.954.781.439.676.800,C4
7.432.945.680.139.050,27.460.764.856.174.200,C4
7.894.507.961.737.620,25.065.989.745.624.000,C4
7.845.893.448.064.060,24.646.138.706.596.900,C4
7.498.320.367.600.520,3.403.693.110.013.300,C4
8.090.608.123.883.500,2.720.311.324.527.900,C4
7.292.707.316.401.890,24.609.954.280.906.600,C4
7.318.043.985.832.540,30.601.168.998.102.700,C4
7.702.691.957.319.730,31.097.318.207.237.300,C4
8.068.863.172.937.040,2.768.010.203.529.840,C4
8.665.307.707.723.890,3.364.639.249.801.950,C4
7.349.591.174.319.090,33.186.570.912.744,C4
8.037.946.282.936.270,3.303.350.307.168.050,C4
8.589.272.883.539.570,3.902.697.805.021.160,C4
8.242.114.417.761.450,3.569.995.099.013.220,C4
7.983.239.704.506.180,4.074.392.503.626.280,C4
8.190.826.006.365.450,416.971.627.435.781,C4
8.218.826.924.020.390,4.845.755.287.103.620,C4
8.812.148.505.077.570,41.184.000.411.639.600,C4
8.755.184.745.353.190,4.624.941.371.802.050,C4
7.810.106.350.002.010,49.118.672.006.882.000,C4
8.734.114.909.433.660,46.788.543.392.563.100,C4
7.765.001.823.534.160,4.090.649.205.767.220,C4
7.929.918.792.026.800,4.279.254.110.032.330,C4
7.725.848.803.743.890,44.406.832.140.057.000,C4
7.202.580.127.607.100,4.599.960.219.628.790,C4
7.573.689.877.570.690,4.972.094.323.895.720,C4
6.656.191.860.739.820,5.180.238.955.879.510,C4
7.221.784.665.528.320,44.188.726.380.660.300,C4
7.231.885.014.587.230,43.394.371.671.234.300,C4
7.183.520.150.292.110,3.729.013.052.171.830,C4
7.414.491.861.886.000,3.952.332.509.407.500,C4
6.741.044.532.032.310,40.620.117.855.842.000,C4
5.876.640.914.651.200,3.507.758.272.984.790,C4
7.170.418.642.121.030,3.394.392.843.058.990,C4
6.425.428.527.175.220,4.283.894.204.667.810,C4
6.302.850.374.869.320,30.028.311.159.979.300,C4
5.960.294.757.096.470,28.885.411.747.057.900,C4
5.788.415.632.360.430,22.731.760.191.553.900,C4
5.690.073.648.294.180,3.076.238.970.955.150,C4
6.605.939.965.713.760,2.053.170.308.023.040,C4
7.081.663.877.229.230,3.082.644.277.351.950,C4
6.501.030.526.954.560,21.150.281.002.953.700,C4
6.823.331.337.580.620,2.023.754.574.112.950,C4
7.313.246.654.422.110,22.840.330.713.393.200,C4
6.725.006.672.631.760,25.810.024.523.932.600,C4
6.304.402.747.698.910,1.534.628.601.676.560,C4
6.765.182.695.044.020,16.198.634.712.466.000,C4
6.398.430.970.045.320,13.578.188.189.228.800,C4
40.100.174.239.561.400,7.260.595.953.766.590,C5
30.440.852.323.502.500,6.183.468.215.241.780,C5
2.632.669.387.962.600,5.845.526.247.550.270,C5
36.089.521.506.643.700,47.758.848.624.651.000,C5
34.158.779.184.370.300,49.173.388.649.695.700,C5
36.657.455.941.485.600,5.534.166.034.599.420,C5
3.346.941.508.166.550,4.123.092.688.167.170,C5
32.512.323.201.994.500,4.566.214.625.038.310,C5
43.650.241.878.550.000,3.936.628.330.274.410,C5
48.592.043.532.845.100,47.349.170.652.960.900,C5
4.216.321.600.620.060,4.923.959.116.850.570,C5
5.006.852.143.950.790,4.449.353.976.559.540,C5
4.721.235.204.730.800,4.575.395.215.532.880,C5
4.673.920.783.610.360,40.497.309.910.153.300,C5
4.536.319.616.917.550,4.506.388.536.343.390,C5
5.196.663.855.893.210,5.902.738.821.010.400,C5
5.187.108.065.745.290,6.174.891.872.133.460,C5
5.059.509.312.633.780,6.782.714.374.934.550,C5
37.313.660.241.379.500,6.286.059.276.465.290,C5
4.323.147.013.410.010,6.481.384.436.540.630,C5
4.449.635.218.562.870,6.541.747.584.673.470,C5
4.243.994.101.784.500,7.298.779.481.860.200,C5
3.489.165.598.169.890,7.063.267.532.547.520,C5
42.036.620.918.063.700,6.836.012.723.786.480,C5
44.132.420.726.965.600,5.951.467.508.308.610,C5
335.531.502.819.235,6.395.150.747.967.700,C5
42.135.186.158.454.600,5.831.372.650.302.460,C5
39.516.958.456.705.100,5.992.482.244.310.180,C5
47.016.597.813.973.400,6.063.256.753.123.930,C5
4.445.147.146.532.340,528.497.330.404.695,C5
49.519.592.842.613.500,5.606.344.808.730.530,C5
4.948.996.534.542.420,5.432.609.715.170.380,C5
5.650.337.989.786.930,5.773.497.915.956.380,C5
5.345.976.836.993.010,6.310.639.565.463.310,C5
5.373.708.339.205.830,6.220.646.964.011.770,C5
4.124.593.113.401.550,6.085.221.234.973.890,C5
35.343.855.607.983.100,6.638.199.009.410.410,C5
36.858.025.518.732,5.727.534.738.240.990,C5
3.848.895.683.866.300,5.594.094.176.010.460,C5
42.831.926.245.808.100,5.217.317.620.609.240,C5
4.942.387.689.446.240,5.203.721.298.186.130,C5
44.383.527.551.622.600,5.035.002.406.429.390,C5
517.359.946.107.045,5.474.771.668.377.420,C5
5.498.921.530.998.370,5.397.598.739.599.970,C5
5.041.435.203.382.120,6.096.771.777.285.360,C5
5.211.579.993.461.900,6.046.452.190.445.330,C5
4.514.212.589.166.670,6.806.559.230.313.600,C5
3.754.323.186.476.080,6.999.977.725.458.130,C5
4.417.340.279.430.140,6.762.507.245.128.310,C5
4.144.728.698.020.170,640.654.877.942.993,C5
4.086.282.896.990.340,597.080.677.937.033,C5
44.081.134.521.489.000,5.507.083.300.392.790,C5
45.692.560.238.108.600,4.985.193.097.510.380,C5
40.950.383.254.616.200,5.185.494.514.803.920,C5
39.445.687.599.469.700,4.655.380.388.213.210,C5
4.509.285.591.801.170,4.299.285.308.017.190,C5
4.391.511.175.489.850,4.896.013.105.423.100,C5
5.845.461.054.962.970,5.333.818.045.866.220,C5
4.827.800.728.386.520,5.685.401.398.567.910,C5
5.086.911.325.745.660,6.627.448.120.239.450,C5
40.260.705.815.080.800,6.473.046.973.094.920,C5
4.527.929.289.723.920,7.369.183.884.135.200,C5
42.427.451.134.243.800,6.146.827.676.993.050,C5
35.532.047.793.715.600,6.324.184.203.551.390,C5
3.788.072.066.813.850,5.946.576.940.384.600,C5
38.765.351.314.948.300,5.692.693.130.033.660,C5
4.470.998.389.727.340,5.643.605.180.035.350,C5
4.913.120.139.120.140,5.247.898.353.583.760,C5
49.013.341.628.394.400,4.982.965.000.579.440,C5
48.193.671.005.902.400,5.098.640.556.620.960,C5
500.004.203.048.413,501.100.795.174.326,C5
4.584.405.741.292.430,5.170.464.832.008.200,C5
501.511.050.332.904,5.428.816.901.529.350,C5
49.620.152.243.732.100,4.902.212.686.729.680,C5
5.181.793.369.718.740,49.012.368.354.915.600,C5
5.468.502.233.472.300,5.686.918.531.458.640,C5
4.994.084.890.610.500,6.576.599.358.003.630,C5
4.979.742.322.624.770,6.110.896.964.091.450,C5
5.804.917.193.817.080,7.374.717.363.653.310,C5
530.669.875.693.641,6.713.773.568.883.690,C5
5.716.434.258.401.260,7.728.788.790.102.990,C5
5.303.393.540.066.070,6.807.632.821.514.740,C5
5.189.803.612.422.600,7.124.768.769.300.960,C5
558.255.108.239.067,7.332.302.720.639.800,C5
49.267.727.487.864.400,7.202.612.485.510.460,C5
4.538.310.054.541.050,7.703.141.131.848.020,C5
4.441.420.822.586.810,7.846.315.977.763.280,C5
4.652.540.986.643.030,7.465.476.883.090.760,C5
366.035.666.546.782,8.416.956.659.053.500,C5
3.888.225.259.561.410,8.076.471.554.403.240,C5
34.605.469.224.834.200,736.759.038.579.307,C5
36.402.418.065.154.400,773.699.391.085.035,C5
3.648.210.271.906.500,7.169.125.917.033.900,C5
3.480.554.600.453.700,7.502.444.373.652.550,C5
3.108.794.001.230.830,6.694.953.718.080.100,C5
3.641.161.223.226.720,5.597.229.403.439.290,C5
3.788.995.058.255.250,6.161.616.673.637.480,C5
38.049.935.768.906.600,6.497.813.784.978.120,C5
43.087.883.030.967.600,5.724.468.831.331.140,C5
42.376.219.734.233.000,5.941.527.638.682.890,C5
40.322.768.915.872.200,5.804.700.154.867.720,C5
5.357.479.553.275.340,6.274.629.483.000.020,C5
